Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1999,2,9,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,10,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,11,0.0001,0,-999,-999,-999,-999,-999,-999,-999
1999,2,12,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,13,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,14,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,15,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,16,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,17,0,0,-999,-999,-999,-999,-999,-999,-999
1999,2,18,0,0,-999,-999,-999,-999,-999,-999,-999
